DATE,AXIOMA_ID,NAME,PRICE,CURRENCY,TSO,RETURN,COUNTRY
2023-09-28,SP6S8NVS5,NIO INC,1832.0,ARS,6081807360.0,0.094384707,AR
2023-09-28,JN4US2196,GEELY AUTOMOBILE H,1.1144,EUR,10063000000.0,0.004507122,AT
2023-09-28,93SLSNMX3,LAKES BLUE ENERGY NL,0.001,AUD,59560000000.0,0.0,AU
2023-09-28,BV2CMWDL8,AMANI GOLD LTD,0.001,AUD,25143000000.0,0.0,AU
2023-09-28,FG3NNBCJ3,ENERGY RES OF AUST,0.034,AUD,22148000000.0,0.030303091,AU
2023-09-28,X1HTW3JY6,88 ENERGY LIMITED,0.006,AUD,22119000000.0,0.0,AU
2023-09-28,2S44X24B7,A1 INVEST & RESOUR,0.001,AUD,20527000000.0,0.0,AU
2023-09-28,287C3CJD1,NETEASE INC,49.69,BRL,6459801050.0,-0.00420824,BR
2023-09-28,3WQUHFV73,NOMURA HOLDINGS,20.78,BRL,3163562601.0,-0.00892968,BR
2023-09-28,VTTH4JQ44,ALIBABA GROUP HLDG,15.35,BRL,2705636601.0,-0.00839787,BR
2023-09-28,3MTF8XGR9,NXP SEMICONDUCTORS,508.0,BRL,257802134.0,0.052522728,BR
2023-09-28,88M64T3G3,PERSEUS MINING LTD,1.41,CAD,1373026000.0,0.029197082000000003,CA
2023-09-28,TBYG532Z3,ST AUGUSTINE GOLD & COPPER L,0.07,CAD,1011405000.0,0.0,CA
2023-09-28,F7QVNJ8M1,NEWCREST MNG LTD,21.34,CAD,894231000.0,-0.01020413,CA
2023-09-28,AQLR357J8,OCEANAGOLD CORP,2.69,CAD,707376000.0,0.015094304,CA
2023-09-28,TFG7MZKS0,ALLKEM LIMITED,10.19,CAD,639321000.0,0.070378095,CA
2023-09-28,YRLTRC9C8,NATL AUSTRALIA BK,13.3235,CHF,3129356361.0,0.0,CH
2023-09-28,YBLKPPY11,ZHEJIANG HUAYOU CO,11.2,USD,1698705765.0,0.0,CH
2023-09-28,A8C6LZ9T4,YANGZHOU YANGJIE E,15.0,USD,270725893.0,0.0,CH
2023-09-28,JV2QPRN69,JIANGSU EASTERN SH,18.8,USD,43492688.0,0.0,CH
2023-09-28,XWU1Z3237,SUNWODA ELECTRONIC,16.6,USD,34372533.0,0.0,CH
2023-09-28,9X4NJVF92,AGRICULTURAL BK CH,3.6,CNY,319240000000.0,0.011235925,CN
2023-09-28,HSPBC4HA9,AGRICULTURAL BK CH,3.6,CNY,319240000000.0,0.011235925,CN
2023-09-28,L3TJAH2Y5,IND & COM BK CHINA,4.68,CNY,269610000000.0,0.0064517640000000005,CN
2023-09-28,R92CY73U3,IND & COM BK CHINA,4.68,CNY,269610000000.0,0.0064517640000000005,CN
2023-09-28,7TUNF66J1,BANK OF CHINA LTD,3.77,CNY,210770000000.0,0.008021578,CN
2023-09-28,JQHAZP2F5,CHINA PETROLEUM &,0.52,EUR,24748000000.0,-0.01140692,DE
2023-09-28,QCHNG4T77,PETROCHINA CO,0.72,EUR,21099000000.0,0.014370273000000001,DE
2023-09-28,7HMKSXBN4,XIAOMI CORPORATION,1.4006,EUR,20450000000.0,-0.02722586,DE
2023-09-28,LBKKDKGN2,DELTA ELECTRONICS,2.62,EUR,12474000000.0,0.004601227,DE
